"osm_id","fclass","name","source_layer","footfall_domingo","footfall_lunes","footfall_martes","footfall_miercoles","footfall_jueves","footfall_viernes","footfall_sabado","footfall_manana_weekend","footfall_tarde_weekend","footfall_noche_weekend","footfall_madrugada_weekend","footfall_manana_semana","footfall_tarde_semana","footfall_noche_semana","footfall_madrugada_semana","avg_dwell","max_dwell","min_dwell","repeat_visit_rate_daily","peak_hour_weekday","peak_visits_weekday","peak_hour_weekend","peak_visits_weekend","total_devices","horas_con_movimiento_semana","horas_con_movimiento_finsemana"
"14883758","nature_reserve","Reserva de La Biosfera Trifinio","gis_osm_landuse_a_free_1","344.0","299.0","310.0","309.0","324.0","395.0","401.0","539.0","580.0","459.0","403.0","1204.0","1307.0","1145.0","907.0","31918.0","2560944","60","4.88","12","212","12","166","488","24","24"
"1083836455","nature_reserve","Reserva de La Biosfera Apaneca-Ilamatepec","gis_osm_landuse_a_free_1","1557.0","1089.0","1038.0","1080.0","1071.0","1465.0","1720.0","1925.0","2255.0","1531.0","1004.0","3516.0","3639.0","2837.0","2019.0","17904.0","2561351","60","3.68","12","590","15","657","2452","24","24"
"6462346","suburb","Barrio El Centro","gis_osm_places_a_free_1","301.0","433.0","479.0","464.0","452.0","611.0","546.0","356.0","401.0","190.0","39.0","1138.0","1191.0","508.0","137.0","3129.0","208141","61","2.22","14","221","11","106","1478","24","24"
"803474294","residential","Residencial Valle Tuscanía","gis_osm_landuse_a_free_1","138.0","129.0","130.0","131.0","131.0","185.0","193.0","207.0","197.0","204.0","201.0","510.0","426.0","573.0","486.0","45626.0","782679","62","4.43","21","79","22","49","234","24","24"
"6483184","suburb","Barrio San José","gis_osm_places_a_free_1","562.0","1032.0","1114.0","1103.0","1054.0","1366.0","1138.0","809.0","820.0","366.0","100.0","2882.0","2748.0","1423.0","257.0","6022.0","772776","60","2.98","15","443","10","213","2470","24","24"
"11155460","town","Metapán","gis_osm_places_a_free_1","129.0","133.0","127.0","133.0","144.0","160.0","162.0","204.0","221.0","171.0","149.0","488.0","539.0","436.0","374.0","0.0","0","0","5.23","14","82","12","60","189","24","24"
"136895397","airport","Aeropuerto Internacional de El Salvador","gis_osm_transport_a_free_1","309.0","297.0","292.0","321.0","326.0","380.0","373.0","350.0","299.0","179.0","107.0","858.0","905.0","439.0","263.0","5526.0","1291401","60","1.79","13","283","7","137","1286","24","24"
"6126961","suburb","Barrio Nuevo","gis_osm_places_a_free_1","241.0","298.0","311.0","338.0","352.0","413.0","421.0","329.0","350.0","215.0","107.0","832.0","946.0","594.0","258.0","20103.0","1510287","60","3.54","11","159","12","90","670","24","24"
"6594235","town","Municipio de San Luis La Herradura","gis_osm_places_a_free_1","352.0","125.0","100.0","127.0","118.0","209.0","362.0","417.0","588.0","347.0","237.0","388.0","487.0","317.0","226.0","14337.0","1180356","60","2.47","13","143","15","240","564","24","24"
"11594272","suburb","Colonia Ciudad Satélite","gis_osm_places_a_free_1","312.0","301.0","310.0","336.0","316.0","430.0","428.0","371.0","335.0","271.0","142.0","834.0","713.0","647.0","338.0","14501.0","1562640","60","2.65","18","135","10","89","917","24","24"
"10015233","suburb","Barrio San Antonio","gis_osm_places_a_free_1","442.0","457.0","518.0","546.0","507.0","701.0","736.0","531.0","523.0","283.0","97.0","1267.0","1228.0","680.0","187.0","9178.0","1535686","60","2.32","10","216","11","142","1683","24","24"
"10015219","suburb","Barrio Belén","gis_osm_places_a_free_1","507.0","536.0","580.0","578.0","613.0","762.0","797.0","609.0","566.0","405.0","135.0","1421.0","1484.0","967.0","256.0","12918.0","1124079","60","2.82","11","260","11","168","1548","24","24"
"220522560","residential","Urbanizacion Nuevo Lourdes","gis_osm_landuse_a_free_1","160.0","153.0","159.0","158.0","161.0","215.0","199.0","218.0","226.0","263.0","229.0","522.0","437.0","624.0","501.0","53010.0","2497079","61","4.88","19","92","22","65","247","24","24"
"8055353","suburb","Barrio El Calvario","gis_osm_places_a_free_1","552.0","1055.0","1047.0","1070.0","1013.0","1345.0","1174.0","886.0","832.0","320.0","136.0","2970.0","2986.0","1011.0","310.0","8358.0","1248956","60","2.84","11","527","11","247","2555","24","24"
"10015218","suburb","Barrio El Calvario","gis_osm_places_a_free_1","411.0","486.0","504.0","518.0","512.0","712.0","703.0","541.0","527.0","355.0","140.0","1221.0","1301.0","990.0","313.0","14952.0","818736","60","2.85","18","234","10","145","1349","24","24"
"441110557","residential","Metropoli San Gabriel","gis_osm_landuse_a_free_1","184.0","181.0","166.0","182.0","179.0","231.0","233.0","207.0","229.0","217.0","156.0","506.0","415.0","568.0","421.0","46632.0","1339942","60","3.18","19","92","19","62","427","24","24"
"6740260","suburb","Barrio San Jacinto","gis_osm_places_a_free_1","401.0","413.0","478.0","484.0","462.0","572.0","523.0","431.0","437.0","319.0","97.0","1179.0","1014.0","774.0","243.0","14607.0","1237625","60","2.84","18","196","11","116","1173","24","24"
"10015217","suburb","Barrio El Centro","gis_osm_places_a_free_1","280.0","378.0","418.0","418.0","420.0","514.0","538.0","421.0","360.0","192.0","63.0","1079.0","1005.0","461.0","152.0","4923.0","168175","60","2.33","10","210","9","115","1271","24","24"
"397507509","residential","Quintas De Santa Elena","gis_osm_landuse_a_free_1","139.0","152.0","153.0","173.0","164.0","201.0","180.0","226.0","227.0","219.0","211.0","624.0","547.0","655.0","547.0","43726.0","1118812","62","7.04","20","78","19","49","165","24","24"
"9257019","suburb","Colonia Escalón","gis_osm_places_a_free_1","3319.0","4169.0","4320.0","4444.0","4446.0","5818.0","5280.0","4703.0","5230.0","3436.0","1827.0","13468.0","15067.0","9940.0","3970.0","13969.0","2542713","60","5.8","14","2097","12","1306","5485","24","24"
"8790925","suburb","Colonia Layco","gis_osm_places_a_free_1","513.0","896.0","864.0","947.0","947.0","1148.0","986.0","734.0","669.0","396.0","134.0","2363.0","2344.0","1217.0","339.0","11517.0","846700","60","2.99","12","364","10","188","2110","24","24"
"6235278","suburb","Barrio Santa Lucía","gis_osm_places_a_free_1","169.0","220.0","222.0","222.0","208.0","280.0","237.0","221.0","240.0","134.0","85.0","633.0","648.0","393.0","221.0","26059.0","1565762","60","3.75","11","92","9","66","415","24","24"
"466278628","residential","Residencial San Rafael","gis_osm_landuse_a_free_1","109.0","111.0","95.0","101.0","109.0","136.0","118.0","169.0","168.0","148.0","135.0","422.0","413.0","439.0","336.0","27474.0","2239022","60","4.93","19","46","13","36","158","24","24"
"8067400","suburb","Colonia Flor Blanca","gis_osm_places_a_free_1","930.0","1708.0","1853.0","1875.0","1873.0","2389.0","1897.0","1353.0","1381.0","642.0","272.0","5066.0","5143.0","2269.0","675.0","9556.0","1074969","60","3.36","11","808","12","367","3724","24","24"
"429991115","residential","Cima 4","gis_osm_landuse_a_free_1","140.0","123.0","122.0","134.0","128.0","154.0","151.0","233.0","214.0","207.0","198.0","497.0","436.0","560.0","424.0","73650.0","2483483","65","6.35","19","70","21","50","150","24","24"
"397507511","residential","Residencial Los Sueños","gis_osm_landuse_a_free_1","221.0","208.0","209.0","236.0","224.0","321.0","303.0","308.0","298.0","307.0","221.0","751.0","748.0","807.0","541.0","26254.0","2186342","60","4.74","18","104","13","74","363","24","24"
